Timestamp (seconds),system activated, Acceleration in X (Gs),Acceleration in Y (Gs), Altitude (meters),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),Event type,level
13.91,1,0.102,0.042,0.052,0.05,0.039,0.043,-1.698,-0.017,-1.526,0,0
14,1,0.111,0.004,-0.027,0.089,0.03,0.02,-1.694,-0.014,-1.527,0,0
14.11,1,0.02,0.02,-0.019,0.074,0.022,-0.009,-1.693,-0.014,-1.528,0,0
14.2,1,-0.131,-0.003,-0.056,-0.02,0.001,-0.025,-1.691,-0.016,-1.53,0,0
14.3,1,-0.161,0.02,-0.048,-0.116,0.012,-0.05,-1.692,-0.019,-1.532,0,0
14.4,1,0.03,-0.008,0.03,-0.071,0.005,-0.019,-1.694,-0.021,-1.534,0,0
14.5,1,0.021,0.042,-0.037,-0.01,0.018,0.008,-1.692,-0.021,-1.535,0,0
14.6,1,0.108,0.009,-0.065,0.065,0.016,-0.044,-1.69,-0.021,-1.537,0,0
14.71,1,-0.028,0.044,-0.083,0.03,0.027,-0.066,-1.689,-0.02,-1.538,0,0
14.8,1,-0.083,0.044,-0.062,-0.03,0.042,-0.078,-1.679,-0.023,-1.539,0,0
14.9,1,-0.038,-0.003,-0.069,-0.053,0.024,-0.062,-1.675,-0.02,-1.541,0,0
15,1,-0.06,0.009,-0.053,-0.057,0.012,-0.057,-1.672,-0.019,-1.543,0,0
15.1,1,0.028,0.002,-0.042,-0.02,0.003,-0.057,-1.666,-0.02,-1.545,0,0
15.2,1,0.086,0.02,-0.042,0.036,0.009,-0.044,-1.66,-0.024,-1.547,0,0
15.3,1,0.031,0.046,-0.048,0.053,0.028,-0.044,-1.656,-0.026,-1.549,0,0
15.41,1,0.081,0.007,-0.093,0.058,0.022,-0.067,-1.649,-0.028,-1.551,0,0
15.5,1,0.01,-0.003,-0.107,0.042,0.01,-0.09,-1.638,-0.029,-1.552,0,0
15.6,1,-0.035,-0.008,-0.096,0.002,0.001,-0.101,-1.623,-0.03,-1.554,0,0
15.7,1,0.005,0.027,-0.09,-0.013,0.008,-0.09,-1.612,-0.032,-1.556,0,0
15.82,1,-0.041,0.045,-0.082,-0.018,0.035,-0.088,-1.607,-0.032,-1.558,0,0
15.9,1,0.035,0.022,-0.051,0.007,0.02,-0.071,-1.607,-0.03,-1.56,0,0
16.01,1,0.027,-0.009,-0.073,0.019,0.012,-0.063,-1.603,-0.028,-1.562,0,0
16.11,1,-0.051,0.004,-0.098,-0.002,0.006,-0.086,-1.598,-0.024,-1.563,0,0
16.21,1,-0.147,0.008,-0.061,-0.081,0.005,-0.079,-1.597,-0.022,-1.565,0,0
16.31,1,-0.046,-0.009,-0.016,-0.082,-0.001,-0.044,-1.6,-0.021,-1.567,0,0
16.41,1,-0.033,-0.004,-0.066,-0.066,0,-0.05,-1.599,-0.019,-1.568,0,0
16.51,1,0.032,-0.015,-0.042,0,-0.012,-0.048,-1.591,-0.02,-1.569,0,0
16.61,1,0.026,-0.011,-0.054,0.016,-0.013,-0.05,-1.584,-0.019,-1.57,0,0
16.71,1,-0.019,-0.01,-0.048,-0.006,-0.008,-0.054,-1.578,-0.018,-1.571,0,0
16.81,1,-0.034,0.01,-0.051,-0.007,-0.004,-0.05,-1.574,-0.016,-1.571,0,0
16.91,1,-0.011,-0.01,-0.028,-0.024,-0.002,-0.04,-1.576,-0.014,-1.572,0,0
17.02,1,-0.049,-0.004,-0.011,-0.03,-0.003,-0.022,-1.58,-0.013,-1.573,0,0
17.11,1,-0.002,-0.015,0,-0.016,-0.006,-0.011,-1.582,-0.013,-1.574,0,0
17.21,1,-0.013,-0.006,-0.02,-0.017,-0.009,-0.014,-1.58,-0.014,-1.575,0,0
17.31,1,0.008,0.003,-0.025,-0.009,-0.005,-0.02,-1.575,-0.017,-1.576,0,0
17.41,1,0.036,0,-0.002,0.017,-0.002,-0.015,-1.573,-0.018,-1.577,0,0
17.51,1,-0.03,0.017,-0.043,-0.006,0.013,-0.025,-1.571,-0.018,-1.578,0,0
17.61,1,0.013,-0.023,-0.036,0.012,-0.008,-0.027,-1.571,-0.019,-1.579,0,0
17.71,1,-0.023,0.008,-0.04,-0.011,-0.001,-0.037,-1.569,-0.017,-1.58,0,0
17.82,1,-0.027,0.023,-0.028,-0.01,0.005,-0.032,-1.568,-0.018,-1.581,0,0
17.91,1,-0.018,0.023,-0.023,-0.027,0.018,-0.032,-1.566,-0.02,-1.581,0,0
18.01,1,-0.007,0.013,-0.018,-0.019,0.019,-0.022,-1.567,-0.019,-1.581,0,0
18.11,1,0.035,-0.041,-0.019,0.009,-0.006,-0.018,-1.564,-0.016,-1.581,0,0
18.21,1,0.056,-0.062,-0.039,0.039,-0.038,-0.03,-1.558,-0.011,-1.581,0,0
18.32,1,-0.004,-0.023,-0.058,0.019,-0.038,-0.044,-1.553,-0.007,-1.581,0,0
18.41,1,-0.052,-0.002,-0.028,-0.011,-0.023,-0.037,-1.55,-0.007,-1.58,0,0
18.52,1,-0.029,0.005,-0.03,-0.026,-0.006,-0.034,-1.548,-0.009,-1.58,0,0
18.62,1,-0.008,0.006,-0.013,-0.02,0.005,-0.024,-1.549,-0.009,-1.579,0,0
18.71,1,0.019,-0.057,-0.032,-0.001,-0.017,-0.026,-1.549,-0.004,-1.577,0,0
18.82,1,0.023,-0.083,0.004,0.009,-0.053,-0.013,-1.549,0.007,-1.573,0,0
18.92,1,0.004,-0.066,0.004,0.011,-0.066,-0.004,-1.548,0.018,-1.57,0,0
19.02,1,0.028,-0.077,0.03,0.018,-0.07,0.013,-1.549,0.026,-1.566,0,0
19.12,1,0.02,-0.056,0.032,0.026,-0.066,0.026,-1.551,0.028,-1.563,0,0
19.22,1,-0.03,-0.043,0.023,-0.009,-0.057,0.024,-1.555,0.031,-1.559,0,0
19.31,1,-0.064,-0.029,0.055,-0.03,-0.044,0.033,-1.56,0.033,-1.556,0,0
19.42,1,0.005,-0.01,0.049,-0.03,-0.026,0.045,-1.566,0.031,-1.553,0,0
19.52,1,-0.004,-0.001,0.037,-0.01,-0.009,0.041,-1.569,0.029,-1.55,0,0
